Added by Katie,ImportRange formula in cell B3,,,,,Added by Katie,,,,,,,,,0,0,0
,,,,,,,,PRODUCT MATERIAL & COMPONENT VALUES,,,Packaging only,,,,RESULTS FOR CHARTS,,
Category Assigned for selection list,Material category,Material name,Impact value (multiply),Impact value (add),Impact unit,Auto-list taken from column E,,Density value,Density unit,Unit weight (g),Manufacturing Process,,,,Baseline *Please Make a Copy Before Editing*,*Design 01*,*Design 02*
Metals,Metal - Aluminium,ADC-12 (65% Recycled)  [Die-casting],0.011147, ,kgCO2e/g,g,TRUE,2.75,g/cm3,,,,ADC-12 (65% Recycled)  [Die-casting],,,,
Metals,Metal - Aluminium,ADC-12 (75% Recycled )  [Die-casting],0.009057, ,kgCO2e/g,g,TRUE,2.75,g/cm3,,,,ADC-12 (75% Recycled )  [Die-casting],,,,
Metals,Metal - Aluminium,ADC-12 (80% Recycled)  [Die-casting],0.007907, ,kgCO2e/g,g,TRUE,2.75,g/cm3,,,,ADC-12 (80% Recycled)  [Die-casting],,,,
Metals,Metal - Aluminium,ADC-12 (85% Recycled)  [Die-casting],0.006862, ,kgCO2e/g,g,TRUE,2.75,g/cm3,,,,ADC-12 (85% Recycled)  [Die-casting],,,,
Metals,Metal - Aluminium,Al 5052 Low Carbon  [Stamping],0.010706, ,kgCO2e/g,g,TRUE,2.68,g/cm3,,,,Al 5052 Low Carbon  [Stamping],,,,
Metals,Metal - Aluminium,Al 5052 Regular  [Stamping],0.043531, ,kgCO2e/g,g,TRUE,2.68,g/cm3,,,,Al 5052 Regular  [Stamping],,,,
Metals,Metal - Aluminium,Al 6063 Low Carbon  [Extrusion],0.005586, ,kgCO2e/g,g,TRUE,2.69,g/cm3,,,,Al 6063 Low Carbon  [Extrusion],,,,
Metals,Metal - Aluminium,Al 6063 Low Carbon [CNC],0.008820, ,kgCO2e/g,g,TRUE,2.69,g/cm3,,,,Al 6063 Low Carbon [CNC],,,,
Metals,Metal - Aluminium,Al 6063 Regular [CNC],0.033390, ,kgCO2e/g,g,TRUE,2.69,g/cm3,,,,Al 6063 Regular [CNC],,,,
Metals,Metal - Aluminium,Al 6063 Regular [Extrusion],0.026201, ,kgCO2e/g,g,TRUE,2.69,g/cm3,,,,Al 6063 Regular [Extrusion],,,,
Metals,Metal - Copper,"Brass CuZn20  [Turning, CNC]",0.003192, ,kgCO2e/g,g,TRUE,8.51,g/cm3,,,,"Brass CuZn20  [Turning, CNC]",,,,
Metals,Metal - Copper,"Brass CuZn39Pb3  [Turning, CNC]",0.003128, ,kgCO2e/g,g,TRUE,8.27,g/cm3,,,,"Brass CuZn39Pb3  [Turning, CNC]",,,,
Metals,Metal - Copper,Copper Sheet (95% Recycled),0.001699, ,kgCO2e/g,g,TRUE,8.96,g/cm3,,,,Copper Sheet (95% Recycled),,,,
Metals,Metal - Others,100% PCR Magnet NdFeB,0.064500, ,kgCO2e/g,g,TRUE,7.7,g/cm3,,,,100% PCR Magnet NdFeB,,,,
Metals,Metal - Others,Magnet NdFeB,0.073500, ,kgCO2e/g,g,TRUE,7.7,g/cm3,,,,Magnet NdFeB,,,,
Metals,Metal - Others,Zn Alloy #3  [Die Casting],0.005057, ,kgCO2e/g,g,TRUE,6.65,g/cm3,,,,Zn Alloy #3  [Die Casting],,,,
Metals,Metal - Stainless Steel,"Stainless Steel, Generic  [Deep Drawing]",0.013272, ,kgCO2e/g,g,TRUE,,,,,,"Stainless Steel, Generic  [Deep Drawing]",,,,
Metals,Metal - Stainless Steel,"Stainless Steel, Generic  [Stamping, Bending]",0.008548, ,kgCO2e/g,g,TRUE,,,,,,"Stainless Steel, Generic  [Stamping, Bending]",,,,
Metals,Metal - Stainless Steel,"Stainless Steel, Generic  [Turning]",0.010902, ,kgCO2e/g,g,TRUE,,,,,,"Stainless Steel, Generic  [Turning]",,,,
Metals,Metal - Stainless Steel,SUS 304  [Deep Drawing],0.009306, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SUS 304  [Deep Drawing],,,,
Metals,Metal - Stainless Steel,"SUS 304  [Stamping, Bending]",0.005948, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"SUS 304  [Stamping, Bending]",,,,
Metals,Metal - Stainless Steel,SUS 304  [Turning],0.007853, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SUS 304  [Turning],,,,
Metals,Metal - Stainless Steel,SUS 316  [Deep Drawing],0.013272, ,kgCO2e/g,g,TRUE,8,g/cm3,,,,SUS 316  [Deep Drawing],,,,
Metals,Metal - Stainless Steel,"SUS 316  [Stamping, Bending]",0.008548, ,kgCO2e/g,g,TRUE,8,g/cm3,,,,"SUS 316  [Stamping, Bending]",,,,
Metals,Metal - Stainless Steel,SUS 316  [Turning],0.010902, ,kgCO2e/g,g,TRUE,8,g/cm3,,,,SUS 316  [Turning],,,,
Metals,Metal - Stainless Steel,SUS 430  [Deep Drawing],0.005106, ,kgCO2e/g,g,TRUE,7.72,g/cm3,,,,SUS 430  [Deep Drawing],,,,
Metals,Metal - Stainless Steel,"SUS 430  [Stamping, Bending]",0.003195, ,kgCO2e/g,g,TRUE,7.75,g/cm3,,,,"SUS 430  [Stamping, Bending]",,,,
Metals,Metal - Stainless Steel,SUS 430  [Turning],0.004624, ,kgCO2e/g,g,TRUE,7.72,g/cm3,,,,SUS 430  [Turning],,,,
Metals,Metal - Steel,"50% PCR SGCC  [Stamping, Bending] [EAF]",0.003240, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"50% PCR SGCC  [Stamping, Bending] [EAF]",,,,
